(VHSM_INIT) C_Initialize
(VHSM_FINALIZE) C_Finalize
(GET_INFO) C_GetInfo
(GET_FUNCTION_LIST) C_GetFunctionList
(GET_SLOT_LIST) C_GetSlotList
(GET_SLOT_INFO) C_GetSlotInfo
(GET_TOKEN_INFO) C_GetTokenInfo
(WAIT_FOR_SLOT_EVENT) C_WaitForSlotEvent
(GET_MECHANISM_LIST) C_GetMechanismList
(GET_MECHANISM_INFO) C_GetMechanismInfo
(INIT_TOKEN) C_InitToken
(INIT_PIN) C_InitPIN
(SET_PIN) C_SetPIN
(OPEN_SESSION) C_OpenSession
(CLOSE_SESSION) C_CloseSession
(CLOSE_ALL_SESSIONS) C_CloseAllSessions
(GET_SESSION_INFO) C_GetSessionInfo
(GET_OPERATION_SIZE) C_GetOperationState
(SET_OPERATION_STATE) C_SetOperationState
(LOGIN) C_Login
(LOGOUT) C_Logout
(OBJ_CREATE) C_CreateObject
(OBJ_COPY) C_CopyObject
(OBJ_DESTROY) C_DestroyObject
(GET_OBJ_SIZEOF) C_GetObjectSize
(GET_ATTRVAL) C_GetAttributeValue
(SET_ATTRVAL) C_SetAttributeValue
(INIT_FINDOBJ) C_FindObjectsInit
(FINDOBJ) C_FindObjects
(FINDOBJ_FINAL) C_FindObjectsFinal
(INIT_ENC) C_EncryptInit
(ENC) C_Encrypt
(ENC_UPD) C_EncryptUpdate
(ENC_FINAL) C_EncryptFinal
(INIT_DEC) C_DecryptInit
(DEC) C_Decrypt
(DEC_UPD) C_DecryptUpdate
(DEC_FINAL) C_DecryptFinal
(INIT_DIGEST) C_DigestInit
(DIGEST) C_Digest
(DIGEST_UPDATE) C_DigestUpdate
(DIGEST_KEY) C_DigestKey
(DIGEST_FINAL) C_DigestFinal
(INIT_SIGN) C_SignInit
(SIGN) C_Sign
(SIGN_UPD) C_SignUpdate
(SIGN_FINAL) C_SignFinal
(INIT_SIGN_RECOVER) C_SignRecoverInit
(SIGN_RECOVER) C_SignRecover
(VERIFY_INIT) C_VerifyInit
(VERIFY) C_Verify
(VERIFY_UPDATE) C_VerifyUpdate
(VERIFY_FINAL) C_VerifyFinal
(INIT_VERIFY_RECOVER) C_VerifyRecoverInit
(VERIFY_RECOVER) C_VerifyRecover
(DIG_ENG_UPD) C_DigestEncryptUpdate
(DEC_DIG_UPD) C_DecryptDigestUpdate
(SIGN_ENC_UPD) C_SignEncryptUpdate
(DEC_VER_UPD) C_DecryptVerifyUpdate
(MAKE_KEY) C_GenerateKey
MAKE_KEYPAIR C_GenerateKeyPair
(WRAP_KEY) C_WrapKey
(UNWRAP_KEY) C_UnwrapKey
(DERIVE_KEY) C_DeriveKey
(SEED_RANDOM) C_SeedRandom
(GEN_RANDOM) C_GenerateRandom
(GET_FUNC_STAT) C_GetFunctionStatus
(CANCEL_FUNC) C_CancelFunction
